mechanism_id	part_id	param_name	param_val	unit
one_step_cooperative_binding	p1_A1	kb	1.0	per_hour
one_step_cooperative_binding	p1_A1	ku	1.0	per_hour
one_step_cooperative_binding	p1_A1	cooperativity	1.0	per_hour
one_step_cooperative_binding	p2_A2	kb	1.0	per_hour
one_step_cooperative_binding	p2_A2	ku	1.0	per_hour
one_step_cooperative_binding	p2_A2	cooperativity	1.0	per_hour
one_step_cooperative_binding	R2	kb	1.0	per_hour
one_step_cooperative_binding	R2	ku	1.0	per_hour
one_step_cooperative_binding	R2	cooperativity	1.0	per_hour
one_step_cooperative_binding	R1	kb	1.0	per_hour
one_step_cooperative_binding	R1	ku	1.0	per_hour
one_step_cooperative_binding	R1	cooperativity	1.0	per_hour
transcription	p1_leak	ktx	0.25	per_hour
transcription	p1_A1	ktx	2.0	per_hour
transcription	p2_leak	ktx	0.25	per_hour
transcription	p2_A2	ktx	2.0	per_hour
simple_translation	utr1	ktl	5.0	per_hour
rna_degradation	rna_m1	kdil	1.0	per_hour
rna_degradation	rna_m2	kdil	1.0	per_hour
protein_degradation	protein_A1	kdil	1.0	per_hour
protein_degradation	protein_A2	kdil	1.0	per_hour
protein_degradation	protein_R1	kdil	1.0	per_hour
protein_degradation	protein_R2	kdil	1.0	per_hour
